transfer_id,player_name,player_page_url,player_image_url,player_position,player_age,player_value_in_euros,season,player_nationalities,old_club_name,old_league_name,new_club_name,new_league_name,transfer_fee_in_euros
67,Aymeric Laporte,https://www.transfermarkt.co.uk/aymeric-laporte/profil/spieler/176553,https://img.a.transfermarkt.technology/portrait/medium/176553-1685546335.jpg?lm=1,Centre-Back,23,25000000,17/18,"['Spain', 'France']",Athletic Bilbao,LaLiga,Manchester City,Premier League,65000000
68,Edinson Cavani,https://www.transfermarkt.co.uk/edinson-cavani/profil/spieler/48280,https://img.a.transfermarkt.technology/portrait/medium/48280-1619791055.jpg?lm=1,Centre-Forward,26,55000000,13/14,"['Uruguay', 'Italy']",SSC Napoli,Serie A,Paris Saint-Germain,Ligue 1,64500000
69,Dominic Solanke,https://www.transfermarkt.co.uk/dominic-solanke/profil/spieler/258889,https://img.a.transfermarkt.technology/portrait/medium/258889-1708340487.jpg?lm=1,Centre-Forward,26,40000000,24/25,"['England', 'Nigeria']",AFC Bournemouth,Premier League,Tottenham Hotspur,Premier League,64300000
70,Mason Mount,https://www.transfermarkt.co.uk/mason-mount/profil/spieler/346483,https://img.a.transfermarkt.technology/portrait/medium/346483-1683291495.jpg?lm=1,Attacking Midfield,24,60000000,23/24,['England'],Chelsea FC,Premier League,Manchester United,Premier League,64200000
71,Sandro Tonali,https://www.transfermarkt.co.uk/sandro-tonali/profil/spieler/397033,https://img.a.transfermarkt.technology/portrait/medium/397033-1688389270.jpg?lm=1,Defensive Midfield,23,50000000,23/24,['Italy'],AC Milan,Serie A,Newcastle United,Premier League,64000000
72,Christian Pulisic,https://www.transfermarkt.co.uk/christian-pulisic/profil/spieler/315779,https://img.a.transfermarkt.technology/portrait/medium/315779-1691696699.jpg?lm=1,Right Winger,20,50000000,18/19,"['United States', 'Croatia']",Borussia Dortmund,Bundesliga,Chelsea FC,Premier League,64000000
73,Pierre-Emerick Aubameyang,https://www.transfermarkt.co.uk/pierre-emerick-aubameyang/profil/spieler/58864,https://img.a.transfermarkt.technology/portrait/medium/58864-1676029326.png?lm=1,Centre-Forward,28,65000000,17/18,"['Gabon', 'France']",Borussia Dortmund,Bundesliga,Arsenal FC,Premier League,63750000
74,Raheem Sterling,https://www.transfermarkt.co.uk/raheem-sterling/profil/spieler/134425,https://img.a.transfermarkt.technology/portrait/medium/134425-1684165974.jpg?lm=1,Left Winger,20,40000000,15/16,"['England', 'Jamaica']",Liverpool FC,Premier League,Manchester City,Premier League,63700000
75,Luka Jović,https://www.transfermarkt.co.uk/luka-jovic/profil/spieler/257462,https://img.a.transfermarkt.technology/portrait/medium/257462-1657519856.jpg?lm=1,Centre-Forward,21,60000000,19/20,"['Serbia', 'Bosnia-Herzegovina']",Eintracht Frankfurt,Bundesliga,Real Madrid,LaLiga,63000000
76,Ángel Di María,https://www.transfermarkt.co.uk/angel-di-maria/profil/spieler/45320,https://img.a.transfermarkt.technology/portrait/medium/45320-1700648952.jpg?lm=1,Right Winger,27,50000000,15/16,"['Argentina', 'Italy']",Manchester United,Premier League,Paris Saint-Germain,Ligue 1,63000000
